FileName,NoRemoval,SimpleRemoval,FullRemoval,TimeNoRemoval(ms),TimeSimpleRemoval(ms),TimeFullRemoval(ms),JavaLanguageFeatureNotSupported,CpgErrorException
progpedia/00000016/ACCEPTED/00064_00001/SopaLetras.java,100.0000,100.0000,100.0000,5.38,4.73,6.09,false,false
progpedia/00000016/ACCEPTED/00091_00002/Sopa.java,100.0000,100.0000,100.0000,6.90,6.84,8.50,false,false
progpedia/00000016/ACCEPTED/00111_00001/Main.java,100.0000,100.0000,0.0000,7.43,6.13,9.64,true,false
progpedia/00000016/ACCEPTED/00084_00001/Sopa.java,100.0000,100.0000,100.0000,5.84,4.75,6.53,false,false
progpedia/00000016/ACCEPTED/00059_00001/sopas.java,100.0000,100.0000,100.0000,6.71,5.39,6.61,false,false
progpedia/00000016/ACCEPTED/00112_00001/Sopadeletras.java,100.0000,100.0000,0.0000,9.46,10.09,11.87,true,false
progpedia/00000016/ACCEPTED/00078_00003/sopaletras.java,100.0000,100.0000,100.0000,4.84,4.47,6.00,false,false
progpedia/00000016/ACCEPTED/00100_00001/SopaDeLetras.java,100.0000,100.0000,0.0000,6.93,5.68,6.68,true,false
progpedia/00000016/ACCEPTED/00089_00002/main.java,100.0000,100.0000,0.0000,13.20,13.82,16.23,true,false
progpedia/00000016/ACCEPTED/00104_00002/SopaLetras.java,100.0000,100.0000,0.0000,7.07,7.27,9.27,true,false
progpedia/00000016/ACCEPTED/00074_00003/Sopa.java,100.0000,100.0000,0.0000,6.81,5.11,6.37,true,false
progpedia/00000016/ACCEPTED/00044_00004/Main.java,100.0000,100.0000,100.0000,5.50,4.77,6.96,false,false
progpedia/00000016/ACCEPTED/00074_00002/Sopa.java,100.0000,100.0000,0.0000,5.89,5.62,6.83,true,false
progpedia/00000016/ACCEPTED/00113_00001/SopaDeLetras.java,100.0000,100.0000,0.0000,6.22,5.16,6.33,true,false
progpedia/00000016/ACCEPTED/00068_00001/ProbA.java,100.0000,100.0000,0.0000,4.62,4.26,6.26,true,false
progpedia/00000016/ACCEPTED/00077_00001/ProblemaA.java,100.0000,100.0000,100.0000,5.48,4.66,6.40,false,false
progpedia/00000016/ACCEPTED/00034_00001/sopaDeLetras.java,100.0000,100.0000,100.0000,6.17,6.14,6.56,false,false
progpedia/00000016/ACCEPTED/00063_00002/MausCaminhos.java,100.0000,100.0000,100.0000,5.90,4.54,6.85,false,false
progpedia/00000016/ACCEPTED/00117_00001/SopaLetras.java,100.0000,100.0000,100.0000,5.86,5.34,8.92,false,false
progpedia/00000016/ACCEPTED/00054_00001/SopaDeLetras.java,100.0000,100.0000,0.0000,5.67,5.19,7.36,true,false
progpedia/00000016/ACCEPTED/00038_00005/Rareorder.java,100.0000,100.0000,100.0000,4.51,4.04,6.06,false,false
progpedia/00000016/ACCEPTED/00095_00004/sopa.java,100.0000,100.0000,0.0000,5.38,4.85,5.89,true,false
